,COUNTRY,ISO3,WHO_REGION,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
0,Afghanistan,AFG,EMRO,01/06/2022,6171652,5456919.0,15.854,14.018,4807917.0,12.351,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
1,Albania,ALB,EURO,29/05/2022,2873654,1320244.0,99.9,46.39,1241712.0,43.631,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0
2,Algeria,DZA,AFRO,05/06/2022,15205854,7840131.0,34.676,17.879,6481186.0,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",4.0
3,American Samoa,ASM,WPRO,05/06/2022,108220,44456.0,196.061,80.541,40945.0,74.18,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
4,Andorra,AND,EURO,29/05/2022,153072,57880.0,198.1,75.981,53450.0,70.166,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
5,Angola,AGO,AFRO,05/06/2022,19486927,12700926.0,59.292,38.644,6811268.0,20.724,SII - Covishield,1.0
6,Anguilla,AIA,AMRO,03/06/2022,23601,10746.0,157.319,71.63,10054.0,67.018,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0
7,Antigua and Barbuda,ATG,AMRO,03/06/2022,135715,63995.0,138.585,65.348,61882.0,63.191,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0
8,Argentina,ARG,AMRO,03/06/2022,102986910,41110433.0,227.868,90.961,37483237.0,82.935,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",7.0
9,Armenia,ARM,EURO,22/05/2022,2150112,1129669.0,72.6,38.123,985807.0,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",8.0
10,Aruba,ABW,AMRO,03/06/2022,171243,88853.0,160.391,83.222,82390.0,77.169,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2.0
11,Australia,AUS,WPRO,05/06/2022,59172637,22318568.0,232.051,87.524,21612293.0,84.754,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
12,Austria,AUT,EURO,29/05/2022,18360721,6828403.0,206.3,76.714,6618435.0,74.356,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",6.0
13,Azerbaijan,AZE,EURO,29/05/2022,13594097,5372656.0,134.1,52.989,4853656.0,47.87,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",5.0
14,Bahamas,BHS,AMRO,03/06/2022,340866,166471.0,86.681,42.333,157964.0,40.169,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
15,Bahrain,BHR,EMRO,01/06/2022,3444799,1236895.0,202.448,72.691,1220655.0,71.737,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
16,Bangladesh,BGD,SEARO,07/06/2022,269401356,129092630.0,163.581,78.386,118088249.0,71.704,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",8.0
17,Barbados,BRB,AMRO,03/06/2022,363262,162385.0,126.407,56.506,152808.0,53.174,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
18,Belarus,BLR,EURO,29/05/2022,13054679,6388371.0,138.2,67.607,6237709.0,66.012,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",4.0
19,Belgium,BEL,EURO,29/05/2022,25357830,9234117.0,220.1,80.14,9136723.0,79.295,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
20,Belize,BLZ,AMRO,03/06/2022,478096,237860.0,120.237,59.82,212057.0,53.33,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
21,Benin,BEN,AFRO,05/06/2022,4156907,3638324.0,34.289,30.011,2690085.0,22.19,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0
22,Bermuda,BMU,AMRO,03/06/2022,131612,48554.0,211.347,77.97,47657.0,76.529,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0
23,Bhutan,BTN,SEARO,05/06/2022,1909762,692874.0,247.504,89.796,672508.0,87.157,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
24,Bolivia (Plurinational State of),BOL,AMRO,03/06/2022,13939699,7213127.0,119.418,61.793,5980603.0,51.234,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0
25,Bonaire,XAA,AMRO,03/06/2022,41250,17523.0,197.227,83.782,15841.0,75.74,Pfizer/BioNTech,1.0
26,"Bonaire, Sint Eustatius and Saba",BES,AMRO,09/04/2021,7391,5726.0,28.441,22.034,2965.0,11.41,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2.0
27,Bosnia and Herzegovina,BIH,EURO,29/01/2022,1924950,943394.0,58.7,28.755,846080.0,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",4.0
28,Botswana,BWA,AFRO,05/06/2022,2727844,1695294.0,115.998,72.09,1510940.0,64.251,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0
29,Brazil,BRA,AMRO,03/06/2022,433872497,181071481.0,204.118,85.186,163459745.0,76.901,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0
30,British Virgin Islands,VGB,AMRO,03/06/2022,41104,19348.0,135.939,63.988,18030.0,59.629,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2.0
31,Brunei Darussalam,BRN,WPRO,05/06/2022,1173118,444293.0,268.154,101.558,426764.0,97.551,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",5.0
32,Bulgaria,BGR,EURO,29/05/2022,4398844,2090328.0,63.3,30.07,2061151.0,29.651,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
33,Burkina Faso,BFA,AFRO,05/06/2022,2947562,2449746.0,14.101,11.719,1555077.0,7.439,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3.0
34,Burundi,BDI,AFRO,05/06/2022,16232,14388.0,0.137,0.121,13811.0,0.116,Beijing CNBG - BBIBP-CorV,1.0
35,Cabo Verde,CPV,AFRO,05/06/2022,762486,355232.0,137.141,63.892,307398.0,55.289,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
36,Cambodia,KHM,WPRO,05/06/2022,40160051,15045995.0,240.207,89.994,14328268.0,85.701,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",7.0
37,Cameroon,CMR,AFRO,05/06/2022,1837626,1558744.0,6.922,5.872,1215532.0,4.579,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
38,Canada,CAN,AMRO,03/06/2022,84847129,32562746.0,224.807,86.277,31250512.0,82.8,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
39,Cayman Islands,CYM,AMRO,03/06/2022,144978,61119.0,220.6,92.999,59292.0,90.219,Pfizer BioNTech - Comirnaty,1.0
40,Central African Republic,CAF,AFRO,05/06/2022,1193681,1101130.0,24.715,22.799,1044746.0,21.631,"Bharat - Covaxin,SII - Covishield",2.0
41,Chad,TCD,AFRO,05/06/2022,2355126,2216437.0,14.338,13.494,2091466.0,12.733,Beijing CNBG - BBIBP-CorV,1.0
42,Chile,CHL,AMRO,03/06/2022,56897016,17965569.0,297.638,93.981,17528387.0,91.694,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",5.0
43,China,CHN,WPRO,05/06/2022,3397315599,1297285455.0,230.908,88.174,1266874166.0,86.107,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",8.0
44,Colombia,COL,AMRO,03/06/2022,84486714,42292969.0,166.041,83.118,35958948.0,70.67,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",5.0
45,Comoros,COM,AFRO,05/06/2022,642520,341302.0,73.887,39.248,301218.0,34.639,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",3.0
46,Congo,COG,AFRO,05/06/2022,831318,693902.0,15.065,12.575,652422.0,11.823,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",4.0
47,Cook Islands,COK,WPRO,05/06/2022,39667,15013.0,225.843,85.476,14679.0,83.574,Pfizer BioNTech - Comirnaty,1.0
48,Costa Rica,CRI,AMRO,03/06/2022,11017624,4437629.0,216.281,87.113,4143017.0,81.329,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
50,Croatia,HRV,EURO,29/05/2022,5253369,2313092.0,129.5,57.032,2239483.0,55.185,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",6.0
51,Cuba,CUB,AMRO,03/06/2022,36461068,10670978.0,321.906,94.212,9965164.0,87.98,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",3.0
52,Curaçao,CUW,AMRO,03/06/2022,253246,108161.0,154.331,65.914,99402.0,60.577,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
53,Cyprus,CYP,EURO,29/05/2022,1785214,663886.0,201.0,74.762,659912.0,74.314,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
54,Czechia,CZE,EURO,29/05/2022,17620044,6956360.0,164.8,65.05,6868349.0,64.227,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
49,Côte d’Ivoire,CIV,AFRO,05/06/2022,12753769,8026397.0,48.35,30.428,5540193.0,21.003,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
55,Democratic Republic of the Congo,COD,AFRO,05/06/2022,2952125,2416650.0,3.296,2.698,1710177.0,1.91,SII - Covishield,1.0
56,Denmark,DNK,EURO,22/05/2022,13204905,4831421.0,226.8,82.975,4783959.0,82.16,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",5.0
57,Djibouti,DJI,EMRO,05/06/2022,311823,175939.0,31.561,17.808,135884.0,13.753,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
58,Dominica,DMA,AMRO,03/06/2022,66733,32759.0,92.696,45.504,30328.0,42.127,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
59,Dominican Republic,DOM,AMRO,03/06/2022,15555792,7222205.0,143.399,66.577,5982874.0,55.152,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",3.0
60,Ecuador,ECU,AMRO,03/06/2022,35268627,15167715.0,199.901,85.97,13978527.0,79.23,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",4.0
61,Egypt,EGY,EMRO,05/06/2022,86132442,47851408.0,84.168,46.76,35333851.0,34.528,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0
62,El Salvador,SLV,AMRO,03/06/2022,10785039,4588952.0,166.277,70.749,4296101.0,66.234,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0
63,Equatorial Guinea,GNQ,AFRO,05/06/2022,479991,265505.0,34.212,18.924,206762.0,14.737,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2.0
64,Estonia,EST,EURO,29/05/2022,2073453,841601.0,156.0,63.327,837237.0,62.999,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
65,Eswatini,SWZ,AFRO,05/06/2022,535393,387468.0,46.148,33.398,336066.0,28.967,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3.0
66,Ethiopia,ETH,AFRO,05/06/2022,29419678,24770491.0,25.59,21.546,21292024.0,18.521,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",4.0
67,Falkland Islands (Malvinas),FLK,AMRO,14/04/2021,4407,2632.0,126.529,75.567,1775.0,50.962,AstraZeneca - AZD1222,1.0
68,Faroe Islands,FRO,EURO,18/02/2022,103894,41715.0,212.614,85.368,40895.0,83.69,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",2.0
69,Fiji,FJI,WPRO,05/06/2022,1469702,705891.0,163.948,78.743,634301.0,70.757,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",3.0
70,Finland,FIN,EURO,29/05/2022,11833552,4531577.0,214.2,82.015,4340329.0,78.554,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",5.0
71,France,FRA,EURO,29/05/2022,148063245,54398084.0,219.9,80.805,52812105.0,78.449,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",6.0
72,French Guiana,GUF,AMRO,03/06/2022,231220,98390.0,77.413,32.941,89111.0,29.835,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2.0
73,French Polynesia,PYF,WPRO,05/06/2022,344607,186597.0,122.676,66.426,183548.0,65.341,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2.0
74,Gabon,GAB,AFRO,05/06/2022,566886,308489.0,25.47,13.86,256088.0,11.506,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",3.0
75,Gambia,GMB,AFRO,05/06/2022,720000,449464.0,29.793,18.599,354340.0,14.662,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0
76,Georgia,GEO,EURO,22/05/2022,2685459,1281508.0,67.3,32.125,1166039.0,29.23,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",4.0
77,Germany,DEU,EURO,29/05/2022,179952194,64542796.0,216.4,77.607,64501003.0,77.556,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",6.0
